산이름,장소유형,장소명,카테고리,주소,전화번호,산으로부터거리(m),도보시간(분),장소위도,장소경도,카카오지도URL,블로그언급수,맛집점수
용봉산,음식점,서울가든,음식점 > 한식,충남 홍성군 홍성읍 충서로 1311,041-634-6670,2321,31,36.5926181131205,126.653866092753,http://place.map.kakao.com/9101864,30,42.9
용문산,카페,커피블로썸,음식점 > 카페,경기 양평군 용문면 용문산로 303-9,031-771-4008,2048,27,37.524023892805644,127.5992475342683,http://place.map.kakao.com/401210676,30,42.9
가야산,음식점,거북식당,음식점 > 한식,경남 합천군 가야면 치인1길 13-3,055-932-7262,1960,26,35.79125417746843,128.0877782192583,http://place.map.kakao.com/21475867,5,42.8
가평 강씨봉,카페,더리터24 가평군청점,음식점 > 카페 > 테마카페 > 무인카페 > 더리터24,경기 가평군 가평읍 석봉로 198,,2986,40,37.8326553190456,127.510094250412,http://place.map.kakao.com/1886272393,191,42.8
청계산,카페,연못둔치,음식점 > 카페,경기 성남시 수정구 금토로 180,0502-5550-7164,1792,24,37.40739076128262,127.0761375145526,http://place.map.kakao.com/567473524,5,42.8
고헌산,카페,인포멀가든,음식점 > 카페,울산 울주군 두서면 구량차리로 374,052-254-3555,1742,23,35.6382781291319,129.120957119502,http://place.map.kakao.com/729884221,5,42.8
주왕산,음식점,통나무172,음식점 > 한식,경북 청송군 주왕산면 공원길 172,,347,5,36.3924467157636,129.143631821465,http://place.map.kakao.com/1869291876,2,42.8
금원산,음식점,하루방제과점,"음식점 > 간식 > 제과,베이커리",경남 함양군 안의면 광풍로 135-1,055-964-0250,2727,36,35.6287368337853,127.812303248745,http://place.map.kakao.com/23401358,5,42.8
문복산,음식점,장승백이,음식점 > 한식,경북 경주시 산내면 문복로 678,054-751-9939,2630,35,35.6910812089965,129.055773782794,http://place.map.kakao.com/16347994,29,42.8
금원산,음식점,진아식당,음식점 > 한식,경남 함양군 안의면 종로길 16,055-962-5452,2761,37,35.62754436204753,127.81325377805845,http://place.map.kakao.com/1750540857,29,42.8
황매산,음식점,동일식육식당,"음식점 > 한식 > 육류,고기",경남 합천군 대병면 회양관광단지길 79-6,,2216,30,35.523535052334886,128.01732681147067,http://place.map.kakao.com/1329572061,188,42.8
관악산,카페,공차 서울대점,음식점 > 카페 > 공차,서울 관악구 관악로 1,02-874-3370,2046,27,37.4594251391833,126.950629157062,http://place.map.kakao.com/1448614050,5,42.8
간월산,음식점,소앤소,"음식점 > 한식 > 육류,고기",울산 울주군 언양읍 웃방천4길 7-3,070-4320-9921,2441,33,35.568139054634,129.109756171325,http://place.map.kakao.com/1012868309,5,42.8
용봉산,카페,카페루앤비 홍성옥암점,음식점 > 카페,충남 홍성군 홍성읍 문화로33번길 34,041-977-1533,2571,34,36.5939512105655,126.656153306315,http://place.map.kakao.com/27490689,29,42.8
봉화 문수산,음식점,맛나분식,음식점 > 분식,경북 봉화군 춘양면 의양로2길 16,,1175,16,36.9373184206714,128.914083307506,http://place.map.kakao.com/2106171878,29,42.8
운길산,음식점,운길산흑염소,"음식점 > 한식 > 사철탕,영양탕",경기 남양주시 조안면 재재기로 537,,1793,24,37.59141535095946,127.31978205771767,http://place.map.kakao.com/1164610942,36,42.7
도봉산,음식점,밤골상회,"음식점 > 한식 > 육류,고기",서울 도봉구 도봉로169길 346-6,,1656,22,37.67707581816909,127.02768765531837,http://place.map.kakao.com/16054491,36,42.7
황매산,카페,로우풀,음식점 > 카페,경남 합천군 대병면 회양관광단지길 28-10,,2430,32,35.525318237179164,128.0188696210686,http://place.map.kakao.com/272189025,922,42.7
가야산(서산),음식점,웰빙밥상,음식점 > 한식,충남 서산시 해미면 해운로 19,041-688-0611,2510,33,36.7138307974539,126.546500979026,http://place.map.kakao.com/1984323187,28,42.6
북한산,카페,제이스파크,음식점 > 카페,서울 강북구 4.19로 93,02-990-3355,2871,38,37.6444895581838,127.005030889175,http://place.map.kakao.com/24046171,28,42.6
황매산,음식점,합천호분식,음식점 > 분식,경남 합천군 대병면 서부로 1978,055-931-9451,2232,30,35.5202935742638,128.018993519963,http://place.map.kakao.com/1637075461,28,42.6
도봉산,음식점,미림산장,음식점 > 한식,서울 강북구 삼양로181길 253,02-993-3330,2094,28,37.673843567135435,127.00446157154765,http://place.map.kakao.com/22184533,27,42.5
가지산,카페,더스톤,음식점 > 카페,울산 울주군 상북면 소야정길 115,0507-1438-2132,2402,32,35.6138583512897,129.064128416539,http://place.map.kakao.com/390872609,27,42.5
영축산,음식점,김가네식당,음식점 > 한식,울산 울주군 삼남읍 청룡들로 57,010-4851-7533,2704,36,35.51064679801999,129.08843287462636,http://place.map.kakao.com/22015865,27,42.5
가지산,음식점,바람에실려,음식점 > 한식,울산 울주군 상북면 석남로 93,,801,11,35.6055491421021,129.030685040126,http://place.map.kakao.com/1267237135,8,42.5
화성 화산,음식점,한정식남원골,음식점 > 한식,경기 화성시 효행구 정남면 세자로 327,,1168,16,37.1959350445765,126.980668543088,http://place.map.kakao.com/1832303381,27,42.5
용봉산,카페,모리커피 홍성법원점,음식점 > 카페 > 커피전문점 > 모리커피,충남 홍성군 홍성읍 법원로 41,,2410,32,36.599562619192035,126.64843702279505,http://place.map.kakao.com/960567882,173,42.4
백병산,음식점,콩이야기,음식점 > 한식,강원특별자치도 삼척시 도계읍 문의재로 804-16,,2503,33,37.1850452083626,129.097626261749,http://place.map.kakao.com/1770393342,862,42.4
천관산,음식점,베이징,음식점 > 중식 > 중국요리,전남 장흥군 장흥읍 북부로 76,,2780,37,34.6866301299218,126.910405258999,http://place.map.kakao.com/1271585249,170,42.3
두타산,음식점,대이가든,음식점 > 한식,강원특별자치도 삼척시 신기면 환선로 178-20,033-541-9999,2906,39,37.3474707720291,129.063335894043,http://place.map.kakao.com/8906869,26,42.3
용봉산,카페,이모지오네카페,음식점 > 카페,충남 홍성군 홍성읍 충서로1301번길 9-28,041-633-4379,2192,29,36.5898135042506,126.653775810237,http://place.map.kakao.com/1849336592,26,42.3
가야산,음식점,정원식당,음식점 > 한식,경남 합천군 가야면 치인1길 14-2,,1922,26,35.7916400102299,128.087964882968,http://place.map.kakao.com/1289371112,168,42.3
추월산,카페,카페야그,음식점 > 카페,전남 담양군 창평면 의병로 37,,1265,17,35.2308856989587,127.008963978791,http://place.map.kakao.com/1026490970,26,42.3
봉화 문수산,카페,봄볕,음식점 > 카페 > 테마카페 > 디저트카페,경북 봉화군 춘양면 춘양로 116,,1563,21,36.9315674152527,128.91672266924,http://place.map.kakao.com/321951141,32,42.2
모악산,음식점,일범식당,음식점 > 한식,전북특별자치도 김제시 금산면 모악로 468-7,063-548-4023,2802,37,35.71781111972149,127.04185721189,http://place.map.kakao.com/10738677,25,42.1
거제 가라산,카페,오망천다방,음식점 > 카페 > 다방,경남 거제시 동부면 거제남서로 3058,055-632-4585,1514,20,34.82217082617144,128.60580847947108,http://place.map.kakao.com/10634789,0,42.0
안성 칠현산,음식점,국밥참맛있는집 동아방송대점,음식점 > 한식 > 국밥 > 국밥참맛있는집,경기 안성시 삼죽면 동아예대길 46,010-4539-8258,2353,31,37.0561676747728,127.363072916915,http://place.map.kakao.com/569561888,4,42.0
도봉산,음식점,애경이네 2호점,음식점 > 한식,서울 도봉구 도봉산4가길 14-3,02-3493-6130,2098,28,37.688325957668376,127.04129116471215,http://place.map.kakao.com/1885783010,24,42.0
영인산,카페,커피에반하다 음봉연암산로점,음식점 > 카페 > 커피전문점 > 커피에반하다,충남 아산시 음봉면 연암산로 55-1,041-544-8351,2721,36,36.84960583823118,127.05116571367755,http://place.map.kakao.com/865866100,4,42.0
백운산(광양),음식점,맛팔도강산,"음식점 > 한식 > 해물,생선",경남 하동군 하동읍 두곡리 671,055-884-2226,1918,26,35.078548937828,127.73988082365,http://place.map.kakao.com/19329974,0,42.0
북한산,음식점,숙이네,음식점 > 한식,서울 은평구 대서문길 51,010-5448-2497,2553,34,37.65502960707757,126.95005796974121,http://place.map.kakao.com/2053129914,24,42.0
금원산,음식점,대밭골,음식점 > 한식,경남 함양군 안의면 육십령로 3288,055-964-9770,1787,24,35.632476658028,127.795892096003,http://place.map.kakao.com/13567622,4,42.0
수락산,음식점,이럇꿀꿀,"음식점 > 한식 > 육류,고기",서울 노원구 덕릉로126길 33,02-939-1247,1609,21,37.6713749298316,127.08252273016653,http://place.map.kakao.com/1966065056,0,42.0
가지산,음식점,두왕추어탕,"음식점 > 한식 > 해물,생선 > 추어",울산 울주군 상북면 삽재로 24,052-243-2838,2694,36,35.61842159890292,129.0658061600287,http://place.map.kakao.com/15691053,4,42.0
용문산,음식점,영암댁,음식점 > 한식,경기 양평군 용문면 용문산로 628,,655,9,37.54499177694254,127.58430788239045,http://place.map.kakao.com/2055597955,7,42.0
천마산(전남),음식점,마루떡방,"음식점 > 간식 > 떡,한과",전남 순천시 해룡면 신대로 97,061-721-4530,1734,23,34.93148780063231,127.54650990492382,http://place.map.kakao.com/10357669,0,42.0
천마산(전남),카페,브루잉스팟몰라,음식점 > 카페 > 커피전문점,전남 순천시 해룡면 매안1길 9,061-804-9015,2011,27,34.9271185688541,127.55274115747,http://place.map.kakao.com/1704387601,4,42.0
금원산,음식점,향숙김밥,음식점 > 분식,경남 함양군 안의면 광풍로 124-2,055-962-0432,2629,35,35.627720299021526,127.81162179841728,http://place.map.kakao.com/450632710,24,42.0
용봉산,카페,카페포숑,음식점 > 카페,충남 홍성군 홍성읍 월계1길 50,070-8886-3309,2777,37,36.60400389950688,126.64798656550492,http://place.map.kakao.com/719103558,24,42.0
간월산,음식점,삼순이밥집,음식점 > 한식,울산 울주군 상북면 향산다개로 126-6,052-264-7857,1671,22,35.5889415466292,129.1078662602788,http://place.map.kakao.com/1886874417,4,42.0
무등산,음식점,부곡정,"음식점 > 한식 > 육류,고기 > 닭요리",광주 동구 증심사길30번길 31,062-234-5292,2887,38,35.1330456496344,126.958336700355,http://place.map.kakao.com/16949241,4,42.0
경주 남산,음식점,남산애 산에,음식점 > 한식 > 한정식,경북 경주시 내남면 포석로 382,054-774-5066,2160,29,35.77538111383268,129.2050276966626,http://place.map.kakao.com/1485151426,4,42.0
영축산,음식점,방기반점,음식점 > 중식 > 중국요리,울산 울주군 삼남읍 방기4길 6,055-381-3812,2483,33,35.507203385442004,129.08589715556465,http://place.map.kakao.com/11064686,4,42.0
거제 가라산,카페,굿 초이스,음식점 > 카페,경남 거제시 거제면 읍내로7길 5,,2113,28,34.8492566727341,128.590894205796,http://place.map.kakao.com/124925175,751,41.8
북한산,음식점,고향보리밭,음식점 > 한식,경기 고양시 덕양구 북한산로553번길 2-6,02-359-1888,2632,35,37.6744857062967,126.95534762793127,http://place.map.kakao.com/1272683241,23,41.8
화성 화산,카페,커피에브리데이,음식점 > 카페 > 커피전문점,경기 화성시 병점구 안녕남로142번길 4,,2071,28,37.195414898269,126.998175333828,http://place.map.kakao.com/667269456,149,41.8
영축산,카페,다요,음식점 > 카페 > 전통찻집,경남 양산시 하북면 신평강변로 54,,2978,40,35.49218202583894,129.08380084321783,http://place.map.kakao.com/11249329,152,41.8
대둔산,음식점,오뎅이네호떡,음식점 > 분식,전북특별자치도 완주군 운주면 대둔산공원길 30,,1790,24,36.11702906070847,127.3321598786356,http://place.map.kakao.com/541156022,152,41.8
북한산,음식점,만남마당,"음식점 > 한식 > 육류,고기",서울 강북구 삼양로173길 83,,2624,35,37.6616576065643,127.008189544024,http://place.map.kakao.com/1699714921,143,41.6
천황산,카페,카페옴,음식점 > 카페,경남 양산시 원동면 배내로 808,,1954,26,35.5153421856635,129.001468602625,http://place.map.kakao.com/1634308271,145,41.6
천마산,카페,모닥,음식점 > 카페,경기 남양주시 화도읍 북한강로 1138-1,,2018,27,37.6154718886145,127.343439386717,http://place.map.kakao.com/808539471,703,41.5
축령산,음식점,리버포인트C&B,음식점 > 한식,경기 가평군 청평면 호반로 474,,2332,31,37.7104150391601,127.454708374888,http://place.map.kakao.com/1809795266,697,41.4
청계산,카페,카페랄로 판교점,음식점 > 카페,경기 성남시 분당구 하오개로 246,031-709-5711,2605,35,37.39376964923493,127.04757394892715,http://place.map.kakao.com/17646024,21,41.4
가야산(서산),카페,요거트과일싸롱 서산해미읍성점,음식점 > 카페 > 테마카페 > 디저트카페,충남 서산시 해미면 남문5로 2,,2705,36,36.7133198219248,126.544366214512,http://place.map.kakao.com/596488503,136,41.4
추월산,음식점,고향회관,음식점 > 한식,전남 담양군 창평면 의병로 170,,2238,30,35.2395735784439,127.018742865687,http://place.map.kakao.com/21481989,693,41.4
도봉산,음식점,초원가든,음식점 > 한식,서울 강북구 삼양로181길 251,02-993-3702,2077,28,37.6737534475385,127.005001125473,http://place.map.kakao.com/15987084,21,41.4
영축산,음식점,소담정,"음식점 > 한식 > 육류,고기 > 오리",경남 양산시 하북면 서리마을2길 32-16,,1785,24,35.5001725630947,129.074737741388,http://place.map.kakao.com/16319286,26,41.3
간월산,카페,어띠프,음식점 > 카페,울산 울주군 언양읍 웃방천3길 6,070-8670-0753,2550,34,35.56735032220503,129.11049204571773,http://place.map.kakao.com/785344342,20,41.2
천등산,음식점,벌떼가든,음식점 > 한식,전북특별자치도 진안군 부귀면 곰티로 1299,063-433-0064,2705,36,35.7995717771457,127.336642464893,http://place.map.kakao.com/9813580,20,41.2
관악산,카페,느티나무 도서관점,음식점 > 카페,서울 관악구 관악로 1,,1966,26,37.4593356335395,126.952075978719,http://place.map.kakao.com/130037574,131,41.2
천마산(전남),카페,차오름 연향3지구점,음식점 > 카페,전남 순천시 팔마2길 48,,1875,25,34.9341364885121,127.517805662123,http://place.map.kakao.com/21306786,129,41.1
무등산,카페,커피에반하다 광주무등산점,음식점 > 카페 > 커피전문점 > 커피에반하다,광주 동구 증심사길30번길 28-1,,2920,39,35.1328922688495,126.95790557536,http://place.map.kakao.com/1264731755,127,41.1
수락산,카페,더그레이디저트,음식점 > 카페 > 테마카페 > 디저트카페,서울 노원구 덕릉로126길 21,,1661,22,37.6708850101876,127.082217280444,http://place.map.kakao.com/1562340833,24,41.0
거제 가라산,음식점,장모님치킨 거제점,음식점 > 치킨 > 장모님치킨,경남 거제시 거제면 읍내로 27,055-633-4848,2102,28,34.84920239967208,128.59269926343526,http://place.map.kakao.com/13265619,3,41.0
발왕산,음식점,더캐슬샬레,음식점 > 양식,강원특별자치도 평창군 대관령면 올림픽로 715,033-330-7327,1991,27,37.611804989015,128.671988493453,http://place.map.kakao.com/1965084800,3,41.0
대둔산,음식점,삼밭골,"음식점 > 한식 > 육류,고기 > 오리",전북특별자치도 완주군 운주면 대둔산로 2157-6,063-261-5757,2488,33,36.1110172264577,127.335341000433,http://place.map.kakao.com/16346278,3,41.0
검단산,카페,플로라,음식점 > 카페,경기 남양주시 조안면 다산로362번길 15,,1953,26,37.5291832579658,127.284770707332,http://place.map.kakao.com/21354825,126,41.0
가야산(서산),음식점,양평해장국 해미점,음식점 > 한식 > 해장국 > 양평해장국,충남 서산시 해미면 남문2로 164,041-688-8037,2582,34,36.7098631499382,126.548628392023,http://place.map.kakao.com/821878923,3,41.0
가지산,음식점,중앙가든,음식점 > 한식,울산 울주군 상북면 소야정길 12,052-264-5764,1622,22,35.61641219843176,129.05389580310188,http://place.map.kakao.com/15795934,3,41.0
수락산,음식점,진고개,음식점 > 중식 > 중국요리,서울 노원구 덕릉로126다길 8,,1617,22,37.6713671449768,127.083343369308,http://place.map.kakao.com/10773860,24,41.0
광덕산,음식점,향림촌,"음식점 > 한식 > 해물,생선",충남 천안시 동남구 성남면 약수로 126,,1443,19,36.7284542848855,127.214541449282,http://place.map.kakao.com/9638847,3,41.0
제암산,음식점,일흥회관,음식점 > 한식,전남 보성군 율어면 율어로 547,061-852-7045,2762,37,34.870241837996474,127.185567211934,http://place.map.kakao.com/360030923,19,41.0
도봉산,카페,초록뜰,음식점 > 카페 > 테마카페 > 북카페,서울 도봉구 도봉로181길 65-8,02-956-7956,2237,30,37.6848352488242,127.042200721571,http://place.map.kakao.com/1105975436,3,41.0
가야산(서산),음식점,버거듀,음식점 > 양식 > 햄버거,충남 서산시 해미면 해운로 13,,2542,34,36.71348136474233,126.54631723683302,http://place.map.kakao.com/1942701588,124,41.0
영축산,음식점,고향촌닭집,"음식점 > 한식 > 육류,고기 > 닭요리",경남 양산시 하북면 지산로 198,,1457,19,35.497753010315,129.065974805396,http://place.map.kakao.com/8753470,3,41.0
가야산(서산),카페,디어커피,음식점 > 카페 > 커피전문점,충남 서산시 해미면 동문3길 4,,2238,30,36.7115810947264,126.551838354013,http://place.map.kakao.com/843037653,124,41.0
백운산(광양),음식점,지코바 하동점,음식점 > 치킨 > 지코바,경남 하동군 하동읍 중앙3길 1,055-884-7977,2939,39,35.07083060552537,127.74651640765666,http://place.map.kakao.com/8075791,3,41.0
백운산(광양),카페,문 타로카페,음식점 > 카페 > 테마카페 > 사주카페,경남 하동군 하동읍 중앙로 48-1,010-5493-9321,2984,40,35.07093556755422,127.74732866049463,http://place.map.kakao.com/391898100,3,41.0
수락산,카페,라비쉬,음식점 > 카페 > 커피전문점,서울 노원구 누원로 18,010-3223-1862,2339,31,37.68598614869442,127.05452597878055,http://place.map.kakao.com/868216556,3,41.0
관악산,음식점,마리아쥬제이,음식점 > 한식,서울 관악구 관악로 1,02-880-5241,1748,23,37.4578712675654,126.953783607929,http://place.map.kakao.com/1688391730,3,41.0
경주 남산,음식점,남산루반점,음식점 > 중식 > 중국요리,경북 경주시 내남면 포석로 372-1,054-773-7784,2151,29,35.77457936691559,129.20506636406682,http://place.map.kakao.com/749947986,3,41.0
간월산,음식점,정원오리명가,음식점 > 한식,울산 울주군 상북면 능산길 43,,1417,19,35.57955822384551,129.10545502208186,http://place.map.kakao.com/581286245,19,41.0
천마산,카페,올리브나무,음식점 > 카페,경기 양평군 서종면 중미산로 191,,1834,24,37.6019081080777,127.372943672886,http://place.map.kakao.com/613212652,123,40.9
조계산,카페,D605살롱,음식점 > 카페,전남 화순군 동면 대암길 41-24,,1886,25,35.021295136390464,127.01611141008745,http://place.map.kakao.com/32243931,122,40.9
도봉산,카페,요거트월드 도봉점,음식점 > 카페 > 테마카페 > 디저트카페 > 요거트월드,서울 도봉구 도봉로169나길 56,,2676,36,37.6772358934779,127.043586187046,http://place.map.kakao.com/795006079,123,40.9
북한산,카페,아지브런치,음식점 > 카페,서울 강북구 4.19로17길 14-1,010-9869-0305,2930,39,37.6442841048974,127.005668799374,http://place.map.kakao.com/2115726641,18,40.8
운길산,음식점,크레아찌온,음식점 > 도시락 > 배달도시락,경기 남양주시 조안면 북한강로855번길 79-13,,2932,39,37.597947610806,127.33310292999,http://place.map.kakao.com/1432281157,118,40.8
간월산,음식점,화진식당,음식점 > 한식,울산 울주군 상북면 지화길 78,,526,7,35.5791610857877,129.092613179511,http://place.map.kakao.com/16581525,5,40.8
가지산,음식점,8호점,음식점 > 한식,울산 울주군 상북면 석남로 556,,898,12,35.6174678997739,129.039708958612,http://place.map.kakao.com/21550574,5,40.8
가평 강씨봉,음식점,오늘의밥상,음식점 > 한식,경기 가평군 가평읍 보납로 79,031-382-5308,2437,32,37.8317389317903,127.519399153017,http://place.map.kakao.com/1822935624,18,40.8
진악산,카페,론드,음식점 > 카페,충남 금산군 금산읍 인삼로 98,,592,8,36.1024067510163,127.492477757784,http://place.map.kakao.com/1276616830,5,40.8
수락산,음식점,대가집,"음식점 > 한식 > 육류,고기 > 삼겹살",서울 노원구 상계로 315,,1671,22,37.67077808030109,127.08049540265463,http://place.map.kakao.com/16849137,23,40.8
용봉산,음식점,막퍼주는집,음식점 > 한식,충남 홍성군 구항면 충서로 1060-10,041-633-0040,2370,32,36.57129321937308,126.65252679334186,http://place.map.kakao.com/1466118109,18,40.8
가야산(서산),카페,오아시스,음식점 > 카페,충남 서산시 해미면 동문2길 8,,2506,33,36.710434633203135,126.54914995814816,http://place.map.kakao.com/2091624097,596,40.8
천황산,음식점,배내청수골가든,"음식점 > 한식 > 육류,고기 > 닭요리",경남 양산시 원동면 청수골길 106,,2836,38,35.52224000940551,129.0176524459414,http://place.map.kakao.com/12481884,115,40.6
무등산,음식점,샤브한쌈,음식점 > 샤브샤브,광주 동구 증심사길30번길 43,062-223-3313,2830,38,35.1326997044855,126.958859146815,http://place.map.kakao.com/2069794430,17,40.6
거제 가라산,카페,동백에쏘피리언스,음식점 > 카페,경남 거제시 거제면 서정옥산길 32-2,055-633-1911,2601,35,34.8536408150615,128.590595945347,http://place.map.kakao.com/1253103267,17,40.6
기백산,카페,(용추)느티나무카페,음식점 > 카페,경남 함양군 안의면 안의내동길 4-1,,2992,40,35.6613661420113,127.79266793994,http://place.map.kakao.com/2026253979,564,40.5
봉화 문수산,음식점,우리곰탕 설렁탕 한식뷔페,음식점 > 한식 > 곰탕,경북 봉화군 춘양면 소천로 57,,2466,33,36.92222724627947,128.9244098828085,http://place.map.kakao.com/804337772,111,40.5
검단산,카페,벨스타커피,음식점 > 카페,경기 남양주시 와부읍 다산로 46,,2943,39,37.5404365817917,127.254445081155,http://place.map.kakao.com/1324171665,562,40.5
천관산,음식점,강산해장어구이,"음식점 > 한식 > 해물,생선 > 장어",전남 장흥군 장흥읍 동교로 71-13,,2775,37,34.6864556035844,126.902635495647,http://place.map.kakao.com/232442666,108,40.4
금원산,음식점,골목식당,음식점 > 한식 > 한정식,경남 함양군 안의면 허삼둘길 14-22,,2699,36,35.629618334056,127.811490850772,http://place.map.kakao.com/10144919,109,40.4
청계산,음식점,수애가 청계산 본점,음식점,경기 성남시 수정구 달래내로 389,,1776,24,37.4280633080275,127.071024574656,http://place.map.kakao.com/1483119227,685,40.4
무등산,음식점,대호식당,음식점 > 한식,광주 동구 증심사길30번길 37,062-227-7833,2831,38,35.1331792893035,126.959034459635,http://place.map.kakao.com/16748311,16,40.3
용봉산,카페,안뜰파티오커피,음식점 > 카페 > 커피전문점,충남 홍성군 홍성읍 법원로 21,,2551,34,36.5996017173364,126.650701121788,http://place.map.kakao.com/16449684,104,40.2
백운산(광양),카페,미나리깡 무인커피,음식점 > 카페 > 테마카페 > 무인카페,경남 하동군 하동읍 중앙로 101,,2479,33,35.0730006786394,127.74202349057,http://place.map.kakao.com/2003399653,101,40.1
천마산,음식점,호리문,음식점 > 양식,경기 양평군 서종면 중미산로 11,,597,8,37.604130023308294,127.35329630815816,http://place.map.kakao.com/2073650720,4,40.0
영축산,카페,다울,음식점 > 카페 > 전통찻집,경남 양산시 하북면 신평중앙길 53,,2758,37,35.4933212561326,129.081805073906,http://place.map.kakao.com/835100529,100,40.0
팔공산,카페,구공이일공,음식점 > 카페 > 커피전문점,대구 동구 팔공산로199길 6,,535,7,35.989642975853634,128.696524694245,http://place.map.kakao.com/21365320,0,40.0
제암산,음식점,보성다슬기,음식점 > 한식,전남 보성군 복내면 송재로 1838-12,,2822,38,34.8932043209215,127.133127079909,http://place.map.kakao.com/1438493481,503,40.0
관악산,카페,유니케,음식점 > 카페,경기 과천시 관문로 92,02-503-2020,2866,38,37.429944892692596,126.99087652976631,http://place.map.kakao.com/1411510523,15,40.0
관악산,카페,플라세르힐즈 과천점,음식점 > 카페,경기 과천시 관문로 92,070-7543-8810,2842,38,37.4299800093111,126.990582766574,http://place.map.kakao.com/500131959,15,40.0
영인산,카페,리프레소,음식점 > 카페,충남 아산시 음봉면 음봉로 146,,694,9,36.84721224918104,127.02738440315217,http://place.map.kakao.com/91969077,4,40.0
제암산,음식점,신흥식당,음식점 > 한식,전남 보성군 복내면 송재로 1833-1,061-852-5021,2916,39,34.8941290782943,127.132372601214,http://place.map.kakao.com/21290076,15,40.0
천마산(전남),음식점,동구르르유통,음식점 > 간식 > 아이스크림,전남 순천시 해룡면 월전길 37,,926,12,34.9148114318946,127.537397786393,http://place.map.kakao.com/1638289835,0,40.0
천황산,음식점,석수정가든,"음식점 > 한식 > 육류,고기 > 닭요리",경남 양산시 원동면 배내로 884,,1994,27,35.5203351218182,129.006848053931,http://place.map.kakao.com/12075008,19,40.0
거제 가라산,음식점,윤식당,음식점 > 한식,경남 거제시 거제면 기성로2길 20,,2008,27,34.8481113353841,128.58888022255,http://place.map.kakao.com/1330339430,488,39.9
영축산,카페,카페지산,음식점 > 카페,경남 양산시 하북면 지내마을길 7,,2154,29,35.4994171836729,129.0789905033373,http://place.map.kakao.com/248877255,485,39.9
영축산,음식점,내친구야,"음식점 > 한식 > 육류,고기",울산 울주군 삼남읍 방기4길 28,055-383-4796,2525,34,35.509118785364606,129.08649113052672,http://place.map.kakao.com/15532929,2,39.8
황석산,카페,동차선가,음식점 > 카페 > 전통찻집,경남 함양군 지곡면 개평길 59,,1453,19,35.56569990167672,127.76728227265555,http://place.map.kakao.com/1413380161,2,39.8
신불산,카페,그린마운트,음식점 > 카페,울산 울주군 상북면 알프스온천로 188,010-2584-8575,2198,29,35.5550080170153,129.07331640979973,http://place.map.kakao.com/1695645713,14,39.8
신불산,음식점,등억골,"음식점 > 한식 > 육류,고기 > 오리",울산 울주군 상북면 등억알프스로 354,052-262-4747,2839,38,35.5568288246735,129.080290600849,http://place.map.kakao.com/9753223,2,39.8
추월산,음식점,처갓집양념치킨 창평점,음식점 > 치킨 > 처갓집양념치킨,전남 담양군 창평면 의병로 137,061-383-7900,2048,27,35.2382976306501,127.015560949142,http://place.map.kakao.com/1734952882,2,39.8
영축산,음식점,하우스홀드,"음식점 > 술집 > 호프,요리주점",울산 울주군 삼남읍 방기5길 10,055-382-1230,2363,32,35.5078163083155,129.084636843427,http://place.map.kakao.com/16496306,2,39.8
백암산,카페,티앤니들,음식점 > 카페 > 테마카페 > 갤러리카페,전북특별자치도 정읍시 대석1길 57,010-9102-3700,2304,31,35.5364176415462,126.895786053711,http://place.map.kakao.com/1169716798,2,39.8
수락산,음식점,당고개분식,음식점 > 분식,서울 노원구 상계로 309,,1673,22,37.670792111587836,127.07973485094614,http://place.map.kakao.com/1137306499,94,39.8
북한산,음식점,선운산장,음식점 > 한식,서울 강북구 삼양로173길 218,02-995-1543,2117,28,37.6582710743989,127.0024977768,http://place.map.kakao.com/12361418,14,39.8
도봉산,카페,커피낙타,음식점 > 카페 > 커피전문점,서울 도봉구 도봉산길 73,,1817,24,37.68657112796557,127.03778585416865,http://place.map.kakao.com/997129998,18,39.8
거제 가라산,음식점,BBQ 거제면점,음식점 > 치킨 > BBQ,경남 거제시 거제면 읍내로 45,055-632-9266,2138,29,34.8494937654377,128.591096654958,http://place.map.kakao.com/1838852368,2,39.8
관악산,카페,키런츠빌리지,"가정,생활 > 유아 > 놀이시설 > 키즈카페",경기 과천시 관문로 92,0507-1427-7280,2833,38,37.42979437663336,126.99029581065834,http://place.map.kakao.com/473031747,2,39.8
수락산,카페,티아유,음식점 > 카페,서울 노원구 덕릉로126길 2,02-935-8777,1736,23,37.6701863577467,127.08148541931,http://place.map.kakao.com/2039805388,2,39.8
거제 가라산,음식점,장수돼지국밥 거제점,음식점 > 한식 > 국밥,경남 거제시 거제면 읍내로 51,055-638-4578,2149,29,34.849545651923215,128.59029955438277,http://place.map.kakao.com/1437593020,2,39.8
용봉산,음식점,온주식당,음식점 > 한식,충남 홍성군 구항면 구항길 54,041-632-7169,2356,31,36.5881079568302,126.604902010338,http://place.map.kakao.com/21526935,14,39.8
금원산,음식점,페리카나 안의점,음식점 > 치킨 > 페리카나,경남 함양군 안의면 강변로 321,055-964-1106,2758,37,35.6304459791737,127.811715586,http://place.map.kakao.com/10882438,2,39.8
청계산,카페,차너른,음식점 > 카페 > 전통찻집,경기 성남시 분당구 하오개로 276,031-707-7477,2691,36,37.3922864751501,127.049979498675,http://place.map.kakao.com/976175406,2,39.8
